iter	Passed	Remaining
0	61	308084
1	67	167725
2	72	120604
3	76	95618
4	79	79825
5	82	68710
6	84	60236
7	86	53884
8	88	49032
9	90	45329
10	92	42162
11	94	39480
12	97	37224
13	99	35265
14	100	33564
15	103	32094
16	105	30787
17	106	29604
18	108	28502
19	110	27530
20	112	26589
21	113	25783
22	115	25057
23	117	24414
24	119	23771
25	121	23185
26	122	22636
27	124	22109
28	126	21636
29	127	21179
30	129	20761
31	131	20350
32	133	20052
33	134	19673
34	136	19323
35	137	18988
36	139	18665
37	140	18378
38	142	18088
39	143	17814
40	145	17547
41	146	17297
42	147	17053
43	149	16811
44	150	16587
45	152	16379
46	153	16185
47	154	15979
48	156	15792
49	157	15611
50	159	15441
51	160	15279
52	162	15122
53	163	14976
54	165	14845
55	166	14720
56	168	14610
57	170	14495
58	172	14482
59	175	14435
60	177	14342
61	179	14329
62	181	14219
63	182	14097
64	184	13991
65	185	13891
66	187	13794
67	188	13690
68	190	13607
69	191	13518
70	193	13432
71	195	13347
72	196	13261
73	197	13175
74	199	13092
75	200	13009
76	202	12928
77	203	12867
78	205	12818
79	207	12762
80	208	12691
81	210	12625
82	211	12552
83	213	12497
84	214	12430
85	216	12376
86	218	12336
87	219	12273
88	221	12214
89	222	12152
90	224	12092
91	225	12037
92	227	11980
93	228	11919
94	229	11863
95	231	11814
96	232	11763
97	234	11713
98	235	11657
99	236	11607
100	238	11560
101	239	11515
102	241	11475
103	242	11424
104	244	11377
105	245	11339
106	246	11292
107	248	11245
108	249	11207
109	251	11169
110	252	11129
111	254	11086
112	255	11045
113	256	11013
114	258	10992
115	260	10958
116	261	10928
117	263	10896
118	264	10859
119	266	10851
120	268	10837
121	270	10811
122	271	10784
123	273	10758
124	274	10724
125	276	10700
126	278	10677
127	280	10659
128	281	10630
129	283	10606
130	284	10578
131	286	10553
132	287	10525
133	289	10499
134	290	10477
135	292	10447
136	293	10426
137	295	10400
138	296	10378
139	298	10355
140	299	10335
141	301	10309
142	302	10288
143	304	10262
144	305	10239
145	307	10215
146	308	10193
147	310	10169
148	311	10150
149	313	10128
150	314	10103
151	316	10080
152	317	10057
153	318	10035
154	320	10011
155	321	9987
156	322	9962
157	324	9942
158	325	9923
159	327	9901
160	328	9880
161	330	9861
162	331	9845
163	333	9825
164	334	9807
165	336	9791
166	337	9772
167	339	9752
168	340	9732
169	342	9717
170	343	9700
171	344	9678
172	346	9673
173	348	9657
174	349	9638
175	351	9621
176	352	9606
177	354	9594
178	355	9574
179	356	9556
180	358	9539
181	359	9522
182	361	9506
183	362	9490
184	364	9475
185	365	9461
186	366	9445
187	368	9428
188	369	9412
189	371	9401
190	372	9386
191	374	9374
192	375	9358
193	377	9346
194	378	9335
195	380	9323
196	381	9309
197	383	9296
198	384	9284
199	386	9269
200	387	9257
201	389	9245
202	390	9233
203	392	9219
204	393	9205
205	394	9191
206	396	9185
207	397	9169
208	399	9159
209	400	9146
210	402	9135
211	404	9141
212	406	9134
213	408	9130
214	410	9126
215	411	9123
216	413	9118
217	415	9123
218	418	9135
219	419	9124
220	421	9106
221	422	9089
222	423	9075
223	425	9065
224	426	9051
