iter	Logloss
0	0.6800907677
1	0.6681723654
2	0.6557078954
3	0.6435235635
4	0.6313763988
5	0.6200018248
6	0.6096094357
7	0.6000782496
8	0.5899975684
9	0.5798533472
10	0.570196389
11	0.5616971346
12	0.5523707517
13	0.5438454595
14	0.536217537
15	0.5278817582
16	0.5198151849
17	0.5127675374
18	0.5048724367
19	0.4973798428
20	0.4902165548
21	0.4831325391
22	0.4768453593
23	0.470750639
24	0.4642184889
25	0.4586147153
26	0.451963157
27	0.4459811237
28	0.4403865389
29	0.435003915
30	0.4293018468
31	0.4240540142
32	0.4195659225
33	0.4146388695
34	0.4098755031
35	0.4048484308
36	0.4002748134
37	0.396464872
38	0.3926316961
39	0.3881342702
40	0.3841455068
41	0.3810578957
42	0.3770439582
43	0.3733657682
44	0.3699409448
45	0.3665475261
46	0.3635582646
47	0.3603296287
48	0.3573790213
49	0.3546457377
50	0.3515938555
51	0.3487294631
52	0.3455344114
53	0.3428886573
54	0.3404532098
55	0.337782702
56	0.3357263549
57	0.333438673
58	0.3312619363
59	0.3292402093
60	0.3267699714
61	0.3244624902
62	0.3222273335
63	0.3202468236
64	0.318516137
65	0.3162539734
66	0.3145619147
67	0.3126335671
68	0.3104898658
69	0.3083471409
70	0.3064265572
71	0.3043975789
72	0.3030283585
73	0.301441155
74	0.2998898787
75	0.2983398066
76	0.2968317301
77	0.2955650215
78	0.2943019092
79	0.2929579575
80	0.2914655722
81	0.2902563395
82	0.2888352317
83	0.2877008881
84	0.2863773382
85	0.2852713928
86	0.2840031636
87	0.2829812733
88	0.2816098986
89	0.2802873906
90	0.2792680981
91	0.2781461725
92	0.276995846
93	0.2759024204
94	0.2748409093
95	0.2740634059
96	0.2732510533
97	0.2723433649
98	0.2713682856
99	0.2706116732
100	0.2696275152
101	0.2688264661
102	0.2678954071
103	0.2670139816
104	0.2661580582
105	0.2653274597
106	0.2645364577
107	0.2637089499
108	0.2629503434
109	0.2623944585
110	0.2617429625
111	0.2610803955
112	0.260368343
113	0.2596734486
114	0.2590088696
115	0.2584335656
116	0.2578779982
117	0.2573918225
118	0.2567844689
119	0.2561334926
120	0.2556119491
121	0.2550655052
122	0.2545882121
123	0.254011561
124	0.2534578192
125	0.2528874603
126	0.2523393929
127	0.2518605635
128	0.2514558173
129	0.2509586984
130	0.2505798382
131	0.2501754226
132	0.2496672494
133	0.2492941118
134	0.2489589732
135	0.2485833503
136	0.2481511516
137	0.2478355425
138	0.2474194004
139	0.2471166593
140	0.2468138392
141	0.2464240761
142	0.246073098
143	0.245757491
144	0.2454390731
145	0.2451740646
146	0.2449404535
147	0.2445517095
148	0.2441557484
149	0.2437670925
150	0.2434466621
151	0.2431046732
152	0.2428574818
153	0.2425268913
154	0.2422589414
155	0.241958791
156	0.2416766195
157	0.2415141538
158	0.2412699752
159	0.2409994744
160	0.2407712763
161	0.2405466973
162	0.2402750463
163	0.2400546353
164	0.2398758848
165	0.2396855067
166	0.2394134471
167	0.2391938815
168	0.2389668591
169	0.2387250909
170	0.2384759371
171	0.2382833592
172	0.2381426
173	0.2379915182
174	0.2377744314
175	0.2376274827
176	0.2374854043
177	0.2372782228
178	0.2370690997
179	0.2368490968
180	0.2367278525
181	0.2366089722
182	0.236412132
183	0.2362155513
184	0.2360180772
185	0.2358116657
186	0.235644722
187	0.2354501064
188	0.2352931996
189	0.2351759632
190	0.2349957291
191	0.2348368321
192	0.234718199
193	0.2345479896
194	0.2344183789
195	0.2342779826
196	0.234193876
197	0.234086424
198	0.2339331191
199	0.233836863
200	0.2337352201
201	0.2336224632
202	0.233488569
203	0.2333746081
204	0.2332915635
205	0.233200257
206	0.2330736213
207	0.2329461872
208	0.232804646
209	0.2326818143
210	0.2325882361
211	0.2324503231
212	0.2323299411
213	0.2322430074
214	0.2321710123
215	0.2320623916
216	0.2319483349
217	0.2318280744
218	0.2317050775
219	0.231628301
220	0.2315351969
221	0.2314558319
222	0.2313707442
223	0.2312966745
224	0.2312089924
225	0.2311026072
226	0.2310061985
227	0.2309258614
228	0.2308536036
229	0.2308038675
230	0.2307473363
231	0.2306622728
232	0.2305635441
233	0.2304878553
234	0.2304132723
235	0.2303353039
236	0.2302511379
237	0.2301786774
238	0.2301286493
239	0.2300819654
240	0.2300234597
241	0.2299463316
242	0.2298723786
243	0.2298043811
244	0.2297371938
245	0.2296909239
246	0.2296265492
247	0.229561222
248	0.2294945328
249	0.2294420448
250	0.229377094
251	0.2293211996
252	0.2292835659
253	0.2292393031
254	0.2291749677
255	0.2291456747
256	0.2290786764
257	0.2290265462
