iter	Logloss
0	0.6799880916
1	0.6673464549
2	0.6554632651
3	0.6441538378
4	0.6320302277
5	0.6213194471
6	0.610414171
7	0.5993668162
8	0.5889743047
9	0.5793631344
10	0.5700934168
11	0.5617716782
12	0.5525667251
13	0.5438900088
14	0.5354799246
15	0.5268993121
16	0.5194403203
17	0.5116600721
18	0.5043899131
19	0.4972023068
20	0.4901863779
21	0.4835221409
22	0.4776089388
23	0.4719344028
24	0.4661602692
25	0.4599136427
26	0.4542722432
27	0.4483540249
28	0.4422473058
29	0.4367628052
30	0.4314253574
31	0.4259373436
32	0.4204653852
33	0.4157498418
34	0.4117151484
35	0.4066997366
36	0.4027955222
37	0.3988987853
38	0.3951431601
39	0.3914815909
40	0.3873767004
41	0.3838362294
42	0.3798558635
43	0.3762349295
44	0.3729389501
45	0.3691972961
46	0.3659330327
47	0.3627961502
48	0.3597175311
49	0.3563475633
50	0.3533405702
51	0.3503480474
52	0.347287218
53	0.3448935917
54	0.3422497406
55	0.3394245625
56	0.3372112357
57	0.3347437278
58	0.3319761154
59	0.3299229661
60	0.327732569
61	0.3253993597
62	0.3230303949
63	0.3210883204
64	0.3191226487
65	0.3170459323
66	0.31536414
67	0.3134379641
68	0.3113255317
69	0.3096111057
70	0.30799139
71	0.3060929261
72	0.3042617534
73	0.3027599287
74	0.3014202696
75	0.2999919141
76	0.2985478778
77	0.2972191358
78	0.2954306634
79	0.2939909796
80	0.2925755652
81	0.2909524209
82	0.2896954594
83	0.2884735271
84	0.2870894792
85	0.2858567582
86	0.2845571206
87	0.2833143133
88	0.2823055304
89	0.2809282093
90	0.2800520645
91	0.2789759549
92	0.2781682921
93	0.277062292
94	0.2761426123
95	0.275315877
96	0.2742257897
97	0.2732721002
98	0.2722144463
99	0.2712711033
100	0.2702394297
101	0.2693607885
102	0.2683788383
103	0.2676767995
104	0.2668273312
105	0.2661318429
106	0.2654213908
107	0.2646167775
108	0.2639628998
109	0.2632442939
110	0.2624864043
111	0.2617985326
112	0.2610172624
113	0.2602026945
114	0.2595325636
115	0.2590216155
116	0.2583603567
117	0.2577649172
118	0.2571954677
119	0.2567535693
120	0.2562083764
121	0.2555776116
122	0.255037094
123	0.2545987272
124	0.2541535298
125	0.2536060431
126	0.2532297753
127	0.2526215852
128	0.2521717976
129	0.2517165796
