iter	Passed	Remaining
0	73	369482
1	89	224617
2	105	176241
3	120	150605
4	136	135889
5	152	126929
6	167	119625
7	183	114233
8	198	110074
9	214	106786
10	228	103483
11	243	101136
12	258	99012
13	274	97777
14	288	95881
15	304	94727
16	319	93659
17	334	92629
18	350	91872
19	365	91108
20	381	90446
21	395	89576
22	411	89024
23	426	88345
24	441	87847
25	456	87243
26	478	88118
27	494	87801
28	511	87639
29	530	87814
30	546	87677
31	564	87596
32	581	87503
33	596	87102
34	613	87017
35	629	86831
36	646	86750
37	661	86387
38	676	86041
39	694	86133
40	711	86045
41	729	86096
42	746	86025
43	762	85898
44	779	85837
45	796	85777
46	812	85675
47	830	85629
48	847	85613
49	863	85534
50	878	85294
51	899	85581
52	916	85550
53	935	85652
54	952	85679
55	970	85676
56	984	85386
57	1001	85335
58	1018	85303
59	1035	85285
60	1053	85273
61	1069	85210
62	1085	85060
63	1101	84953
64	1116	84776
65	1134	84838
66	1150	84710
67	1166	84577
68	1183	84550
69	1197	84337
70	1217	84488
71	1232	84358
72	1247	84184
73	1264	84204
74	1281	84154
75	1300	84232
76	1314	84062
77	1330	83930
78	1351	84163
79	1366	84010
80	1381	83925
81	1397	83830
82	1412	83656
83	1427	83567
84	1443	83449
85	1457	83303
86	1473	83224
87	1487	83055
88	1503	82986
89	1518	82841
90	1533	82744
91	1550	82718
92	1566	82636
93	1581	82535
94	1596	82444
95	1612	82372
96	1627	82256
97	1641	82113
98	1656	81983
99	1671	81919
100	1688	81905
101	1717	82453
102	1756	83491
103	1785	84059
104	1815	84627
105	1834	84692
106	1857	84954
107	1879	85156
108	1902	85380
109	1924	85565
110	1947	85757
111	1969	85966
112	1991	86113
113	2012	86237
114	2034	86439
115	2056	86571
116	2077	86721
117	2097	86789
118	2118	86900
119	2133	86748
120	2148	86614
121	2163	86495
122	2178	86398
123	2195	86329
124	2213	86331
125	2229	86230
126	2245	86166
127	2260	86052
128	2277	85994
129	2293	85909
130	2309	85857
131	2326	85814
132	2343	85758
133	2358	85655
134	2375	85601
135	2390	85489
136	2406	85436
137	2423	85373
138	2438	85288
139	2458	85329
140	2473	85243
141	2489	85180
142	2505	85089
143	2519	84979
144	2535	84908
145	2552	84851
146	2567	84777
147	2583	84694
148	2598	84615
149	2613	84501
150	2628	84408
151	2643	84314
152	2659	84243
153	2673	84125
154	2687	84012
155	2702	83924
156	2717	83830
157	2733	83780
158	2748	83677
159	2762	83579
160	2777	83482
161	2793	83438
162	2808	83331
163	2823	83250
164	2837	83146
165	2852	83070
166	2867	82977
167	2882	82902
168	2898	82848
